data_extracao,codigo,nome,telefone,logradouro,numero,latitude,longitude
10/03/2020 01:58,1,RODOVIÁRIA,3221-9371,LG VESPASIANO JULIO VEPPO,0,"-30,024","-51,2195"
10/03/2020 01:58,458,AV. DAS INDÚSTRIAS X AV. SEVERO DULLIUS,,AV. DAS INDÚSTRIAS,1344,"-29,9873","-51,1698"
10/03/2020 01:58,327,DOM PEDRO II X CORCOVADO,,R DOM PEDRO II,1551,"-30,0206","-51,1863"
10/03/2020 01:58,24,SHOPPING CENTER IGUATEMI II,4141-4695,AV JOAO WALLIG,1800,"-30,0254","-51,1632"
10/03/2020 01:58,60,RAMALHETE X TENENTE ALPOIN,3339-1241,R RAMALHETE,105,"-30,0673","-51,1768"
10/03/2020 01:58,68,MUCIO TEIXEIRA C/ AURELIANO DE FIGUEIREDO PINTO,3226-5109,R MUCIO TEIXEIRA,10,"-30,0438","-51,2233"
10/03/2020 01:58,105,MARCILIO DIAS X GETULIO VARGAS,3231-0808,R MARCILIO DIAS,763,"-30,0498","-51,2219"
10/03/2020 01:58,183,SILVEIRO X RADIO E TV GAUCHA,,R SILVEIRO,1220,"-30,0705","-51,2309"
10/03/2020 01:58,113,HOFFMANN X CRISTÓVÃO COLOMBO,3222-8176,R HOFFMANN,710,"-30,0215","-51,2074"
10/03/2020 01:58,121,MAXXI ATACADO HUMAITÁ,3374-1663,AV A J RENNER,1603,"-29,9824","-51,1926"
10/03/2020 01:58,100,JOÃO PESSOA X VENÂNCIO AIRES,3212-4398,AV JOAO PESSOA,1105,"-30,0412","-51,2165"
10/03/2020 01:58,267,DAN INN CONCEIÇÃO,3226-6498,R VIGARIO JOSE IGNACIO,618,"-30,0311","-51,2258"
10/03/2020 01:58,295,PINTO BANDEIRA X VOLUNTÁRIOS DA PÁTRIA,,R PINTO BANDEIRA,280,"-30,0267","-51,2224"
10/03/2020 01:58,399,SIOMA BREITMAN X NILO PEÇANHA,,RUA SIOMA BREITMAN,495,"-30,0346","-51,1852"
10/03/2020 01:58,40,"FREDERICO MENTZ, 1530",,R FREDERICO MENTZ,1561,"-29,9961","-51,2023"
10/03/2020 01:58,85,SANTA TERESINHA X VENÂNCIO AIRES,3330-5831,R SANTA TEREZINHA,79,"-30,0378","-51,211"
10/03/2020 01:58,411,24 DE OUTUBRO X AUXILIADORA,,R VINTE QUATRO DE OUTUBRO,1728,"-30,0217","-51,1915"
10/03/2020 01:58,66,FORUM CENTRAL,3224-1379,R MARCIO L VERAS VIDOR,10,"-30,0445","-51,2308"
10/03/2020 01:58,453,FERNANDO FERRARI,,R. FERNANDO FERRARI,1001,"-29,975","-51,167"
10/03/2020 01:58,456,VENÂNCIO AIRES X JOÃO PESSOA,,AV VENANCIO AIRES,355,"-30,0413","-51,2164"
10/03/2020 01:58,475,Paraguai x Cabral,,R PARAGUAI,50,"-30,0283","-51,2285"
10/03/2020 01:58,397,SERTÓRIO X FARRAPOS,,AV SERTORIO,615,-30,"-51,1996"
